eDNA pos. sites,Confirmed field detections,Stream Order,Elevation (m),East/West side of the GRSMNP
1,1,4,521,1
0,0,4,488,1
3,1,5,410,1
0,1,5,564,1
0,1,4,442,1
0,1,5,417,1
0,0,4,506,1
0,0,2,745,1
0,0,1,775,1
0,0,3,462,1
0,0,4,407,2
0,0,2,338,1
1,1,5,338,1
2,1,6,336,1
0,0,3,430,1
0,0,5,577,1
0,0,1,500,1
0,0,2,474,1
0,0,4,857,1
0,0,2,1380,1
0,0,4,832,2
0,0,5,616,2
0,0,2,593,1
0,0,4,691,1
0,0,3,471,1
0,0,4,514,1
0,0,2,759,1
0,0,4,515,2
0,0,2,1058,2
0,0,5,751,2
0,0,1,1462,2
0,0,0,1448,2
0,0,2,1063,2
0,0,0,1282,2
0,0,4,801,2
0,0,4,523,2
0,0,1,530,2
0,0,1,527,2
0,0,3,526,2
0,0,1,526,2
0,0,4,564,2
0,0,4,555,2
0,1,5,529,2
0,0,3,527,2
0,0,3,534,2
0,0,3,625,2
0,0,5,683,2
0,0,3,1165,1
0,0,3,668,1
0,0,2,499,1
